idfcod,idfarr,"idfarr,idfcod"
50090046,maupyr4,"maupyr4,50090046"
50090047,mauagio,"mauagio,50090047"
50090048,tramaro2,"tramaro2,50090048"
50090049,tragaug2,"tragaug2,50090049"
50090050,tralurç4,"tralurç4,50090050"
50090051,trajara,"trajara,50090051"
50090052,tracamu,"tracamu,50090052"
50090053,tracoct,"tracoct,50090053"
50090054,traverl,"traverl,50090054"
50090055,trasand,"trasand,50090055"
50090056,tracast,"tracast,50090056"
50090057,trarepu,"trarepu,50090057"
50090058,tragare2,"tragare2,50090058"
50090059,traccme,"traccme,50090059"
50090060,trameri2,"trameri2,50090060"
50090061,traclem2,"traclem2,50090061"
50090062,travang,"travang,50090062"
50090063,trabbee2,"trabbee2,50090063"
50090064,tralurç2,"tralurç2,50090064"
50090065,trarost2,"trarost2,50090065"
50090066,traleve2,"traleve2,50090066"
50090067,elacerd,"elacerd,50090067"
50090068,elamare,"elamare,50090068"
50090069,plagati,"plagati,50090069"
50090070,plajard,"plajard,50090070"
50090071,plabata2,"plabata2,50090071"
50090072,placuri,"placuri,50090072"
50090073,plaziga,"plaziga,50090073"
50090074,elamare2,"elamare2,50090074"
50090075,elacerd2,"elacerd2,50090075"
50090076,traleve,"traleve,50090076"
50090077,trarost,"trarost,50090077"
50090078,tralurç,"tralurç,50090078"
50090079,trabbee,"trabbee,50090079"
50090080,travang2,"travang2,50090080"
50090081,traclem,"traclem,50090081"
50090082,trameri,"trameri,50090082"
50090083,traccme2,"traccme2,50090083"
50090084,placuri2,"placuri2,50090084"
50090085,plabata,"plabata,50090085"
50090086,plajard2,"plajard2,50090086"
50090087,plagati2,"plagati2,50090087"
50090088,mbrsati2,"mbrsati2,50090088"
50090089,mbrcami,"mbrcami,50090089"
50090090,vlbrond,"vlbrond,50090090"
50090091,vlbalyc,"vlbalyc,50090091"
50090092,vlbplan,"vlbplan,50090092"
50090093,vlbweil,"vlbweil,50090093"
50090094,vlbpepi,"vlbpepi,50090094"
50090095,vlbcent2,"vlbcent2,50090095"
50090096,vlbraci2,"vlbraci2,50090096"
50090097,vlbtill,"vlbtill,50090097"
50090098,vlbparc,"vlbparc,50090098"
50090099,vlbbret,"vlbbret,50090099"
50090100,mbrjapo,"mbrjapo,50090100"
50090101,mbrcyr,"mbrcyr,50090101"
